frame,total_detections,per_class
561,2,"{'tie': 1, 'person': 1}"
562,2,"{'tie': 1, 'person': 1}"
563,2,"{'tie': 1, 'person': 1}"
564,2,"{'tie': 1, 'person': 1}"
565,2,"{'tie': 1, 'person': 1}"
566,2,"{'tie': 1, 'person': 1}"
567,2,"{'tie': 1, 'person': 1}"
568,2,"{'tie': 1, 'person': 1}"
569,2,"{'tie': 1, 'person': 1}"
570,2,"{'tie': 1, 'person': 1}"
571,2,"{'tie': 1, 'person': 1}"
572,2,"{'tie': 1, 'person': 1}"
573,2,"{'tie': 1, 'person': 1}"
574,2,"{'tie': 1, 'person': 1}"
575,2,"{'tie': 1, 'person': 1}"
576,2,"{'tie': 1, 'person': 1}"
577,2,"{'tie': 1, 'person': 1}"
578,2,"{'tie': 1, 'person': 1}"
579,2,"{'tie': 1, 'person': 1}"
580,2,"{'tie': 1, 'person': 1}"
581,2,"{'tie': 1, 'person': 1}"
582,2,"{'tie': 1, 'person': 1}"
583,2,"{'tie': 1, 'person': 1}"
584,2,"{'tie': 1, 'person': 1}"
585,2,"{'tie': 1, 'person': 1}"
586,2,"{'tie': 1, 'person': 1}"
587,2,"{'tie': 1, 'person': 1}"
588,2,"{'tie': 1, 'person': 1}"
589,2,"{'tie': 1, 'person': 1}"
590,2,"{'tie': 1, 'person': 1}"
591,2,"{'tie': 1, 'person': 1}"
592,2,"{'tie': 1, 'person': 1}"
593,2,"{'tie': 1, 'person': 1}"
594,2,"{'tie': 1, 'person': 1}"
595,2,"{'tie': 1, 'person': 1}"
596,2,"{'person': 1, 'tie': 1}"
597,2,"{'person': 1, 'tie': 1}"
598,2,"{'tie': 1, 'person': 1}"
599,2,"{'tie': 1, 'person': 1}"
600,2,"{'person': 1, 'tie': 1}"
601,2,"{'tie': 1, 'person': 1}"
602,2,"{'tie': 1, 'person': 1}"
603,2,"{'tie': 1, 'person': 1}"
604,2,"{'tie': 1, 'person': 1}"
605,2,"{'tie': 1, 'person': 1}"
606,2,"{'tie': 1, 'person': 1}"
607,2,"{'tie': 1, 'person': 1}"
608,2,"{'tie': 1, 'person': 1}"
609,2,"{'tie': 1, 'person': 1}"
610,2,"{'person': 1, 'tie': 1}"
611,2,"{'tie': 1, 'person': 1}"
612,2,"{'tie': 1, 'person': 1}"
613,2,"{'tie': 1, 'person': 1}"
614,2,"{'tie': 1, 'person': 1}"
615,2,"{'tie': 1, 'person': 1}"
616,2,"{'tie': 1, 'person': 1}"
617,2,"{'tie': 1, 'person': 1}"
618,2,"{'tie': 1, 'person': 1}"
619,2,"{'tie': 1, 'person': 1}"
620,2,"{'person': 1, 'tie': 1}"
621,2,"{'tie': 1, 'person': 1}"
622,2,"{'tie': 1, 'person': 1}"
623,2,"{'tie': 1, 'person': 1}"
624,2,"{'tie': 1, 'person': 1}"
625,2,"{'person': 1, 'tie': 1}"
626,2,"{'person': 1, 'tie': 1}"
627,2,"{'person': 1, 'tie': 1}"
628,2,"{'person': 1, 'tie': 1}"
629,2,"{'tie': 1, 'person': 1}"
630,2,"{'tie': 1, 'person': 1}"
